#time	y	u
0.000100	0.000288	3.000000
0.000200	0.001109	3.000000
0.000300	0.002402	3.000000
0.000400	0.004111	3.000000
0.000500	0.006187	3.000000
0.000600	0.008585	3.000000
0.000700	0.011266	3.000000
0.000800	0.014191	3.000000
0.000900	0.017331	3.000000
0.001000	0.020654	3.000000
0.001100	0.024136	3.000000
0.001200	0.027751	3.000000
0.001300	0.031480	3.000000
0.001400	0.035303	3.000000
0.001500	0.039203	3.000000
0.001600	0.043166	3.000000
0.001700	0.047176	3.000000
0.001800	0.051224	3.000000
0.001900	0.055296	3.000000
0.002000	0.059385	3.000000
0.002100	0.063480	3.000000
0.002200	0.067576	3.000000
0.002300	0.071664	3.000000
0.002400	0.075739	3.000000
0.002500	0.079796	3.000000
0.002600	0.083830	3.000000
0.002700	0.087836	3.000000
0.002800	0.091812	3.000000
0.002900	0.095754	3.000000
0.003000	0.099660	3.000000
0.003100	0.103526	3.000000
0.003200	0.107352	3.000000
0.003300	0.111135	3.000000
0.003400	0.114874	3.000000
0.003500	0.118568	3.000000
0.003600	0.122216	3.000000
0.003700	0.125816	3.000000
0.003800	0.129370	3.000000
0.003900	0.132875	3.000000
0.004000	0.136332	3.000000
0.004100	0.139740	3.000000
0.004200	0.143100	3.000000
0.004300	0.146411	3.000000
0.004400	0.149674	3.000000
0.004500	0.152888	3.000000
0.004600	0.156054	3.000000
0.004700	0.159173	3.000000
0.004800	0.162244	3.000000
0.004900	0.165268	3.000000
0.005000	0.168245	3.000000
0.005100	0.171177	3.000000
0.005200	0.174063	3.000000
0.005300	0.176903	3.000000
0.005400	0.179699	3.000000
0.005500	0.182452	3.000000
0.005600	0.185160	3.000000
0.005700	0.187827	3.000000
0.005800	0.190450	3.000000
0.005900	0.193033	3.000000
0.006000	0.195574	3.000000
0.006100	0.198075	3.000000
0.006200	0.200536	3.000000
0.006300	0.202959	3.000000
0.006400	0.205342	3.000000
0.006500	0.207688	3.000000
0.006600	0.209997	3.000000
0.006700	0.212942	10.000000
0.006800	0.217094	10.000000
0.006900	0.222311	10.000000
0.007000	0.228465	10.000000
0.007100	0.235441	10.000000
0.007200	0.243135	10.000000
0.007300	0.251454	10.000000
0.007400	0.260314	10.000000
0.007500	0.269640	10.000000
0.007600	0.279364	10.000000
0.007700	0.289426	10.000000
0.007800	0.299771	10.000000
0.007900	0.310351	10.000000
0.008000	0.321121	10.000000
0.008100	0.332044	10.000000
0.008200	0.343082	10.000000
0.008300	0.354207	10.000000
0.008400	0.365389	10.000000
0.008500	0.376604	10.000000
0.008600	0.387830	10.000000
0.008700	0.399048	10.000000
0.008800	0.410239	10.000000
0.008900	0.421389	10.000000
0.009000	0.432485	10.000000
0.009100	0.443513	10.000000
0.009200	0.454465	10.000000
0.009300	0.465330	10.000000
0.009400	0.476101	10.000000
0.009500	0.486771	10.000000
0.009600	0.497334	10.000000
0.009700	0.507785	10.000000
0.009800	0.518120	10.000000
0.009900	0.528335	10.000000
0.010000	0.538428	10.000000
0.010100	0.548395	10.000000
0.010200	0.558235	10.000000
0.010300	0.567946	10.000000
0.010400	0.577528	10.000000
0.010500	0.586980	10.000000
0.010600	0.596301	10.000000
0.010700	0.605491	10.000000
0.010800	0.614551	10.000000
0.010900	0.623480	10.000000
0.011000	0.632279	10.000000
0.011100	0.640949	10.000000
0.011200	0.649491	10.000000
0.011300	0.657906	10.000000
0.011400	0.666195	10.000000
0.011500	0.674359	10.000000
0.011600	0.682400	10.000000
0.011700	0.690318	10.000000
0.011800	0.698115	10.000000
0.011900	0.705794	10.000000
0.012000	0.713354	10.000000
0.012100	0.720799	10.000000
0.012200	0.728129	10.000000
0.012300	0.735346	10.000000
0.012400	0.742452	10.000000
0.012500	0.749448	10.000000
0.012600	0.756337	10.000000
0.012700	0.763119	10.000000
0.012800	0.769797	10.000000
0.012900	0.776372	10.000000
0.013000	0.782846	10.000000
0.013100	0.789221	10.000000
0.013200	0.795497	10.000000
0.013300	0.801678	10.000000
0.013400	0.807764	10.000000
0.013500	0.813757	10.000000
0.013600	0.819658	10.000000
0.013700	0.825470	10.000000
0.013800	0.831194	10.000000
0.013900	0.836831	10.000000
0.014000	0.842383	10.000000
0.014100	0.847852	10.000000
0.014200	0.853238	10.000000
0.014300	0.858544	10.000000
0.014400	0.863770	10.000000
0.014500	0.868919	10.000000
0.014600	0.873992	10.000000
0.014700	0.878989	10.000000
0.014800	0.883913	10.000000
0.014900	0.888765	10.000000
0.015000	0.893545	10.000000
0.015100	0.898257	10.000000
0.015200	0.902899	10.000000
0.015300	0.907475	10.000000
0.015400	0.911985	10.000000
0.015500	0.916430	10.000000
0.015600	0.920811	10.000000
0.015700	0.925131	10.000000
0.015800	0.929389	10.000000
0.015900	0.933587	10.000000
0.016000	0.937726	10.000000
0.016100	0.941808	10.000000
0.016200	0.945832	10.000000
0.016300	0.949801	10.000000
0.016400	0.953716	10.000000
0.016500	0.957577	10.000000
0.016600	0.961385	10.000000
0.016700	0.965141	10.000000
0.016800	0.968847	10.000000
0.016900	0.972503	10.000000
0.017000	0.976110	10.000000
0.017100	0.979669	10.000000
0.017200	0.983181	10.000000
0.017300	0.986647	10.000000
0.017400	0.990068	10.000000
0.017500	0.993444	10.000000
0.017600	0.996777	10.000000
0.017700	1.000067	10.000000
0.017800	1.003315	10.000000
0.017900	1.006521	10.000000
0.018000	1.009688	10.000000
0.018100	1.012814	10.000000
0.018200	1.015902	10.000000
0.018300	1.018951	10.000000
0.018400	1.021963	10.000000
0.018500	1.024938	10.000000
0.018600	1.027877	10.000000
