#period	period time	calc time
399	4247	1501
400	3998	1501
401	4247	1751
402	4247	1500
403	3998	1501
404	4249	1498
405	3996	1499
406	4247	1497
407	4745	1501
408	3744	1254
409	4253	1498
410	4244	1501
411	3999	1498
412	4247	2001
413	3995	1502
414	4249	1500
415	4246	1753
416	3998	1503
417	4247	1500
418	3996	1501
419	4248	1500
420	4247	2002
421	3997	1502
422	4248	1502
423	3999	1995
424	4243	1502
425	3998	1499
426	4743	1504
427	3752	1499
428	3998	1498
429	4242	1501
430	4002	1500
431	4247	2001
432	4248	1499
433	3996	1501
434	4747	1500
435	3748	1251
436	4247	1500
437	3997	1500
438	4498	1500
439	3997	1751
440	3996	1251
441	4249	1499
442	3999	1498
443	4245	1500
444	3998	1499
445	4746	1500
446	3749	1500
447	4248	1250
448	3994	1253
449	4249	1497
450	3998	2001
451	4246	1502
452	4247	1496
453	4246	1501
454	3998	1252
455	3998	1250
456	4495	1504
457	3750	1502
458	4497	1500
459	4496	1500
460	3749	1499
461	4247	1500
462	3998	1499
463	4246	1501
464	4247	1500
465	3997	1500
466	4249	1499
467	3993	1754
468	4250	1501
469	3997	1501
470	4743	1754
471	3754	1498
472	3994	1500
473	4246	1254
474	4249	1500
475	3997	1746
476	4246	1504
477	4249	1502
478	3999	1500
479	4244	1502
480	3998	1499
